ProjID,ProjName,Commiters,Files,Type,,Type,Count
10312808,Android App Settings,259,2227,Android,,Android,4
9893769,Android System Core,282,1475,Android,,Development,4
1272129,Dropwizard,118,2039,Development,,Software,3
940538,MarkUs,102,4630,Software,,Framework,4
213469,Maven Android,125,1953,Framework,,,15
465203,Anjuta,147,5181,Development,,,
11891655,Caf-Platform,255,1448,Framework,,,
2340549,Playframework,308,3033,Framework,,,
500437,Phonegap-Plugins,256,4608,Android,,,
2813589,google-closure-compiler,206,2892,Framework,,,
12677313,gerrit,124,5066,Development,,,
1979797,FreeRDP,130,3254,Software,,,
8877255,System Core (Custom ROM),275,1464,Android,,,
9263633,gem5,111,6683,Software,,,
1962219,cucumber-jvm,155,3074,Development,,,
,,,,,,,
,Average,190.2,3268.466667,,,,
,Max,308,6683,,,,
,Min,102,1448,,,,
