Project #10312808:,,,,,
Spearman - ,,,,,
,Commits,Failures,Betweenness Centrality,Closeness Centrality,Degree Centrality
Commits,1,0.882464652,0.617061534,0.539022455,0.896878175
Failures,0.882464652,1,0.699613849,0.667957748,0.958157698
Betweenness Centrality,0.617061534,0.699613849,1,0.770617201,0.767146497
Closeness Centrality,0.539022455,0.667957748,0.770617201,1,0.732652609
Degree Centrality,0.896878175,0.958157698,0.767146497,0.732652609,1
,Commits,Failures,Betweenness Centrality,Closeness Centrality,Degree Centrality
Commits,0,1,1,1,1
Failures,1,0,1,1,1
Betweenness Centrality,1,1,0,1,1
Closeness Centrality,1,1,1,0,1
Degree Centrality,1,1,1,1,0
Precision & Recall - ,,,,,
Threshold,0.25,,,,
0,1,0.4797219,,,
1,0.653409091,0.942622951,,,
2,0.699638118,0.90625,,,
3,0.64947245,0.921797005,,,
4,1,0.490044248,,,
5,0.712672522,0.868501529,,,
6,0.997722096,0.491582492,,,
7,0.688423645,0.892971246,,,
8,0.698372966,0.891373802,,,
9,0.681074766,0.918110236,,,
10,0.71967655,0.795827124,,,
11,0.687573964,0.917851501,,,
12,0.69451074,0.937198068,,,
13,0.703797468,0.855384615,,,
14,0.688971499,0.920529801,,,
15,0.685207101,0.903276131,,,
16,1,0.474413646,,,
17,1,0.486278814,,,
18,0.695652174,0.927899687,,,
19,0.561056106,0.994152047,,,
20,0.683760684,0.922570016,,,
21,0.716643741,0.745350501,,,
22,0.686202686,0.88503937,,,
23,0.689912827,0.899350649,,,
24,0.560638298,0.983208955,,,
25,0.725352113,0.744219653,,,
26,0.724874372,0.847283407,,,
27,1,0.493464052,,,
28,1,0.481900452,,,
29,0.81097561,0.712182062,,,
30,0.692848769,0.91627907,,,
31,0.732254047,0.83286119,,,
32,0.565072303,0.988326848,,,
33,0.576230492,0.979591837,,,
34,0.55441008,0.989775051,,,
35,0.808196721,0.62962963,,,
36,0.710344828,0.893063584,,,
37,0.85395189,0.598074609,,,
38,0.632911392,0.930626058,,,
39,0.863309353,0.576230492,,,
40,0.692857143,0.923809524,,,
